"personal_id","Disease_1","Disease_2","Disease_3","Disease_4","Disease_5","Disease_6","Disease_7","Disease_8","Disease_9","Disease_10"
"890713-4129095",1,1,1,0,0,1,1,1,0,1
"600409-3915587",1,0,0,1,0,0,1,1,1,1
"831204-1859409",0,1,0,1,0,1,0,0,1,0
"510417-1756353",1,0,1,1,0,0,0,0,0,0
"860612-4271267",0,0,0,1,0,0,1,0,0,0
"650323-4379623",0,0,1,1,1,1,0,1,0,1
"730714-2692722",0,0,1,1,0,0,1,0,0,1
"591117-4660436",0,0,1,0,0,1,1,1,0,0
"840806-2558639",0,0,0,0,0,0,0,1,1,1
"680928-1097716",0,0,0,1,0,0,0,1,0,1
"900806-3180565",0,1,1,1,1,0,1,1,1,1
"500923-1866331",1,0,0,1,1,1,1,1,1,1
"990927-2917818",1,1,0,1,1,1,0,1,0,0
"710409-2988747",0,0,1,0,0,1,0,1,1,0
"590628-2801547",1,0,0,1,1,1,0,0,1,0
"710626-4498309",1,1,1,0,0,1,0,0,1,0
"761010-3394234",1,0,0,1,1,1,0,0,0,1
"971122-1847201",1,1,1,1,0,1,0,0,1,0
"520415-3929324",0,0,0,0,1,1,1,0,0,0
"861002-1323351",0,0,0,0,1,0,0,1,1,1
"700823-4698623",1,1,0,0,1,0,0,1,0,0
"741016-4812969",0,1,0,0,0,1,1,1,0,0
"570807-4667223",0,0,1,0,0,1,0,0,0,1
"940808-4319395",1,0,1,0,0,1,1,1,1,0
"650321-1093247",1,0,0,0,0,1,1,1,1,0
"890302-1890126",0,1,0,1,0,1,0,1,1,1
"811006-2644484",1,1,1,1,1,1,0,1,0,0
"780726-3420840",1,1,1,0,0,1,1,0,0,0
"661022-4545071",0,0,0,1,1,1,0,0,0,1
"740225-1864060",1,0,0,1,1,0,1,0,1,1
"850403-2340491",0,0,1,0,0,1,1,1,1,0
"590802-4014313",1,0,1,0,0,1,0,1,1,1
"850219-3483458",1,0,1,1,0,0,0,0,1,0
"520325-1396103",0,0,1,1,1,1,0,0,0,1
"600327-4786038",1,1,1,0,0,0,0,1,0,1
"591224-2323127",0,1,1,0,0,0,1,0,0,1
"720610-3330619",0,1,1,1,0,0,1,1,0,1
"720220-1331081",1,0,1,0,0,0,0,0,0,0
"770218-1062892",0,1,0,1,1,1,1,0,1,1
"830627-4289019",1,0,1,1,1,1,0,0,0,0
"980417-3289928",1,0,0,0,1,1,1,0,1,0
"801212-1458173",0,1,1,1,0,1,0,0,0,1
"750415-3026566",1,1,1,0,1,1,0,1,0,0
"710802-4060742",1,1,0,0,1,1,0,0,0,1
"810819-2106915",0,0,0,1,1,0,1,0,1,1
"850206-2962814",1,0,1,0,1,0,1,0,1,1
"980628-4167837",0,1,1,0,0,0,0,1,0,0
"790513-1769684",0,0,1,0,0,0,0,0,1,1
"980701-2682868",1,0,1,1,0,0,1,1,0,1
"651225-2393922",1,1,1,1,0,0,0,1,0,0
"891216-3236220",0,0,1,1,1,1,0,0,1,1
"911026-4845377",0,0,1,0,1,1,0,1,0,1
"931111-4980916",0,0,0,1,0,1,0,0,0,1
"700119-3598633",1,1,0,0,1,0,0,1,0,1
"721025-3544978",1,0,1,1,0,0,0,0,1,1
"970228-2821968",1,0,1,0,0,0,0,1,0,1
"670304-2012369",0,0,1,0,0,1,0,0,1,0
"810128-3627851",1,1,0,1,1,0,0,1,0,0
"731117-2018188",1,1,0,0,0,0,1,1,0,1
"510411-1258824",0,1,1,1,1,1,1,0,0,1
"900801-4197674",0,0,0,1,0,1,0,0,1,1
"991105-2995131",1,1,0,0,1,1,1,0,1,0
"980703-4640001",1,0,0,1,1,1,1,1,1,1
"650913-2773552",1,1,0,1,1,0,1,1,1,0
"901103-4332672",0,1,0,0,0,0,1,0,1,1
"910105-3241838",1,0,1,1,1,0,0,0,1,1
"680607-4929082",1,0,0,0,0,0,0,1,1,1
"870119-1355598",0,1,0,0,1,0,0,0,1,0
"960526-2944253",0,1,0,1,0,0,1,1,0,0
"851113-4440784",1,0,0,1,0,0,1,1,0,0
"941127-3341867",1,0,0,1,1,1,0,0,1,0
"850528-1159976",0,1,1,1,0,1,1,0,1,0
"550205-1942760",1,1,1,1,0,0,0,0,0,1
"761221-1821436",1,1,0,1,1,1,0,1,0,1
"651016-4070533",0,0,0,0,1,0,0,0,1,0
"660317-3478670",1,0,1,1,1,0,0,1,1,0
"750127-1533119",1,1,0,0,1,1,1,0,0,1
"890927-2204259",0,0,0,1,1,1,1,1,0,1
"790610-1741276",0,0,0,0,1,0,0,0,1,0
"531118-3742322",0,0,1,1,1,1,1,1,0,1
"700127-4273541",1,1,0,0,0,1,1,0,1,1
"860320-1160784",1,1,0,0,0,0,0,0,1,0
"560418-1015717",0,0,1,1,1,1,0,1,0,1
"860412-2756043",0,0,1,0,0,1,1,0,0,1
"640619-3662416",0,1,0,1,0,0,0,0,0,1
"871012-3735892",0,1,1,1,0,0,0,0,1,1
"710214-4994447",0,1,0,0,0,1,1,0,0,0
"660814-2700107",0,1,0,0,1,1,1,0,0,1
"620101-2019924",0,1,0,0,0,0,1,1,0,1
"941115-3358574",0,0,0,1,1,0,0,0,1,0
"691015-1275500",1,0,1,1,0,0,0,1,1,0
"770716-1077506",0,1,0,0,0,1,0,0,1,0
"740311-1562020",1,0,1,1,1,1,0,0,0,0
"990107-1217340",1,1,1,0,0,0,0,0,0,1
"880507-3094714",1,1,0,1,0,1,1,1,1,0
"620608-2307020",0,1,1,1,0,0,0,0,1,0
"560324-3615946",1,0,0,0,1,1,1,1,0,0
"960327-4072072",0,1,1,1,0,1,0,1,1,0
"790222-3157642",1,0,0,1,1,0,0,1,0,0
"741005-3672828",0,1,1,0,1,1,1,1,1,1
"590720-1381220",0,1,1,0,1,1,1,0,1,0
"821201-2038250",0,0,0,1,0,0,1,0,1,0
"840522-2210973",1,1,0,1,1,1,0,0,0,0
"900803-1789222",1,0,0,0,0,1,1,0,0,0
"501120-1818979",0,1,1,0,1,1,1,0,0,1
"520723-4263298",0,1,0,1,1,1,0,1,1,1
"580214-3341144",0,0,1,0,1,0,0,0,1,0
"610227-2961607",1,0,1,1,1,1,0,1,1,0
"811204-1063560",0,0,1,0,1,1,1,0,1,1
"900609-3475960",0,0,1,0,1,1,1,0,0,1
"970823-1625000",0,1,1,0,1,1,0,0,1,0
"640724-3784925",1,0,1,1,1,1,0,1,1,1
"740214-2195389",0,1,0,1,0,1,0,0,0,1
"770513-3168807",0,1,1,1,1,1,1,0,0,1
"590118-3724708",1,0,0,1,0,1,0,1,1,0
"510508-1686632",0,1,0,1,1,0,1,1,1,1
"891013-4427821",1,0,0,0,0,1,0,1,0,0
"950305-4111045",1,1,0,0,0,1,1,0,1,1
"920812-4600443",0,0,1,0,1,1,0,0,0,0
"830712-2171240",0,1,0,0,1,1,0,0,1,1
"620321-4876233",0,0,1,0,0,1,0,0,0,1
"660905-1296182",0,1,0,1,0,0,1,1,1,1
"590414-3186066",1,0,0,1,0,1,0,0,0,0
"860305-2355708",0,0,0,0,0,0,0,1,0,0
"830926-1981588",0,0,1,0,1,0,1,0,1,0
"500704-1231814",0,1,0,1,0,1,0,0,0,1
"760212-4266336",1,0,1,1,0,1,0,0,0,1
"720907-4528087",0,1,0,0,1,1,0,0,1,0
"920908-1213068",0,1,1,1,0,0,1,0,1,1
"510304-2467056",1,0,1,1,1,1,1,0,1,0
"720701-2406739",0,1,0,0,1,1,1,1,0,1
"560723-3792570",0,0,1,0,1,1,1,1,1,0
"700203-2358684",0,1,0,0,1,1,1,0,0,0
"790923-4055284",0,1,1,0,1,0,1,0,0,1
"820426-1304307",0,1,1,0,0,1,0,0,0,1
"651224-4571275",1,1,1,0,1,0,1,0,1,1
"720906-4425651",0,1,1,0,0,1,1,1,0,0
"721109-3941626",0,0,0,1,1,1,1,0,1,0
"730114-4442622",0,0,0,0,1,0,0,1,0,1
"680819-1126743",1,1,0,1,1,0,1,1,0,1
"761227-2178719",0,0,1,1,1,1,1,0,1,0
"530412-3653473",1,0,0,0,0,1,0,1,1,0
"881114-3146442",0,0,1,0,1,0,0,1,0,0
"981122-3572114",1,0,1,1,0,1,1,1,1,0
"971016-2341739",1,1,0,1,0,1,1,0,1,0
"850205-4928293",1,1,1,0,1,0,0,1,0,1
"880820-4600787",1,0,1,0,1,0,0,0,1,0
"950206-2567303",1,0,1,0,1,1,1,1,0,1
"640921-2860894",0,0,0,0,0,1,1,0,1,1
"790313-2875936",1,0,1,0,1,0,1,0,0,1
"670316-2819878",0,0,0,0,0,1,1,1,0,0
"610401-1447918",1,0,1,1,1,1,1,1,1,0
"520523-2331754",1,0,0,1,0,0,0,1,0,1
"850603-4528086",1,0,1,0,0,0,1,0,0,0
"630101-4899823",1,0,1,1,0,1,0,1,1,0
"501019-1016615",0,0,1,0,1,1,1,1,0,0
"810404-1438595",1,1,1,0,1,1,0,1,0,1
"901119-2067104",1,0,1,1,0,1,0,0,1,0
"730408-3233243",0,1,0,0,1,0,0,0,1,1
"840420-3680086",1,1,1,1,1,1,1,0,1,1
"690420-1839352",1,1,0,0,0,0,0,1,0,0
"930316-3769566",1,1,0,1,0,1,1,1,1,1
"811013-2407044",1,1,0,0,1,0,1,1,1,0
"670810-2678837",1,0,1,1,1,1,1,0,0,1
"521204-4166415",0,0,1,1,1,1,1,1,0,0
"520905-2530285",0,0,1,1,0,0,0,1,1,1
"670507-4241959",0,0,1,1,1,0,0,0,0,1
"880501-3722447",0,1,1,0,0,1,0,0,0,0
"780116-4598770",1,1,0,1,0,0,0,1,0,1
"620627-2575653",0,0,0,0,1,0,1,1,0,0
"820509-1269580",1,1,0,0,0,0,1,1,1,0
"870726-2933574",0,0,1,0,1,0,1,1,1,0
"880306-3608869",1,0,0,1,1,1,1,0,1,0
"640711-1161012",0,0,1,0,0,0,1,0,1,1
"690302-2466006",1,1,0,1,0,0,0,1,1,0
"510715-3391835",1,0,0,0,1,0,1,1,1,1
"960607-1339683",0,1,1,0,0,0,0,1,1,1
"871016-1474772",1,1,1,1,0,1,0,1,1,1
"800528-1157750",0,1,1,1,1,0,0,1,1,1
"850126-2601614",0,1,0,0,1,1,1,1,1,1
"830524-1090081",0,1,0,1,1,1,1,1,0,0
"860902-2335535",0,0,0,0,1,1,0,1,1,1
"980712-4280055",0,1,0,1,0,1,0,0,1,0
"540106-1427726",1,0,1,1,1,0,0,0,0,0
"870110-3264066",1,0,0,1,0,1,1,1,0,1
"780401-3506848",0,1,1,1,1,0,0,0,1,0
"570502-2355172",1,1,1,0,1,1,1,0,1,0
"991221-3364938",1,0,0,0,0,0,0,1,0,0
"781016-1983876",1,0,0,0,0,1,1,0,1,0
"870301-2821346",1,1,0,0,0,0,1,0,0,0
"601207-2630846",1,1,0,1,1,1,0,1,1,0
"560217-2437130",0,1,0,0,0,1,1,0,0,0
"530613-3254075",1,1,0,0,1,0,0,1,1,0
"901012-4729440",1,1,0,0,0,0,1,1,1,1
"870225-2489511",0,0,0,1,0,1,1,1,1,0
"520510-4573774",0,0,1,0,0,1,0,0,0,1
"690323-3640752",0,0,1,1,1,1,0,1,0,1
"711120-4757306",1,0,1,0,1,0,0,1,1,0
"780209-1074372",0,0,1,1,0,0,0,1,0,0
"940326-1599682",0,0,0,0,1,0,1,0,0,0
"751216-4653168",1,1,0,1,1,1,1,1,1,0
"521120-1077114",1,1,0,0,1,1,1,1,1,0
"630418-2133904",0,0,0,1,1,0,0,1,1,0
"500204-4332711",0,0,1,0,0,1,0,1,1,1
"680413-4745328",0,1,0,1,1,1,0,0,0,1
"830213-4537591",0,0,1,0,1,0,0,1,1,1
"670227-1449653",1,0,1,1,0,1,1,0,1,0
"650307-1243254",1,0,1,1,1,0,0,1,1,0
"620108-2429284",1,0,0,0,0,1,0,0,0,1
"700225-1340131",0,0,1,0,0,1,1,0,0,1
"980627-2673189",0,1,0,0,0,0,0,0,0,1
"521025-4576186",1,0,0,0,1,1,0,0,1,0
"561218-1328919",0,0,0,1,0,0,1,0,1,0
"810416-4077004",1,0,1,0,0,1,1,0,1,1
"670113-2398947",0,0,1,0,1,1,0,1,0,1
"560715-1103757",0,1,0,0,0,1,0,1,0,1
"510217-1637290",1,0,1,0,1,0,0,0,0,1
"660106-4514999",1,1,1,0,1,1,0,0,0,0
"570710-2763362",0,0,0,0,1,1,0,1,1,1
"820811-3243669",0,1,0,1,1,0,0,1,0,0
"940609-2266576",0,1,0,1,1,1,1,0,0,1
"990221-1684538",1,0,0,0,0,1,0,1,0,1
"730409-4430061",1,0,1,0,0,0,1,0,1,1
"681122-2667662",0,0,1,0,0,1,1,1,1,0
"650116-2655438",1,1,0,0,1,1,1,1,1,0
"780617-2835243",0,1,0,1,1,0,0,1,0,0
"610210-1976403",1,0,0,0,1,0,1,0,1,1
"920322-4507694",0,1,1,1,1,0,0,0,1,0
"950101-4606010",0,0,0,0,1,0,0,1,1,1
"901121-4312275",0,1,1,0,1,1,1,0,0,1
"810116-1494206",1,1,1,1,1,1,0,0,0,1
"671226-4575375",1,0,1,1,1,1,0,1,1,1
"730206-2260851",0,1,0,1,1,0,0,1,1,0
"690517-2038885",1,0,0,1,1,0,0,1,0,0
"651218-3708880",1,1,1,1,0,1,0,1,0,1
"960220-1922080",1,1,1,0,0,0,1,0,0,0
"510504-1560636",1,0,0,0,0,0,1,0,1,1
"770118-1030869",1,1,0,1,0,0,0,1,1,0
"620420-3164529",0,0,0,0,1,1,1,0,1,1
"801010-2040878",1,1,0,0,0,0,0,0,1,1
"580628-1832150",1,0,1,1,0,0,0,1,1,1
"920504-3247840",1,0,0,0,0,1,0,0,1,0
"610514-3861935",1,0,1,0,1,0,1,0,0,0
"620808-1552414",1,1,0,1,1,1,0,0,0,1
"771202-4817046",1,0,0,1,0,1,1,0,0,0
"850428-4346501",0,1,0,0,0,1,1,1,0,0
"750122-2493994",0,1,0,0,1,1,1,0,1,0
"950716-3857211",0,0,1,0,0,1,1,1,1,0
"980604-2113703",0,1,0,1,1,0,0,1,1,1
"870110-3462033",1,1,1,1,1,0,1,1,1,1
"801015-1751347",1,1,0,0,0,1,0,1,1,0
"750123-2985961",0,1,1,1,0,0,0,1,0,0
"860401-2257013",1,1,0,0,1,1,1,0,1,1
"950704-2694677",1,0,1,0,1,0,1,1,0,1
"840401-1147056",1,0,0,1,0,1,0,0,0,1
"570303-1723379",1,0,1,1,0,0,1,0,1,1
"701019-2174687",1,1,0,0,0,0,0,0,0,0
"691203-1665444",0,1,1,1,0,1,0,1,1,0
"690808-2049875",0,0,0,1,1,1,1,0,1,0
"680908-1614729",1,0,1,1,0,0,0,1,1,0
"840219-3074474",0,1,1,0,0,1,0,0,0,0
"900909-2546368",0,1,0,1,1,1,0,1,1,0
"620718-2610230",1,0,1,0,1,1,1,1,0,0
"820326-3911495",0,1,1,0,0,0,0,1,1,1
"870513-3870832",1,1,1,1,0,1,1,1,0,0
"850321-4470016",1,0,1,0,0,0,0,0,1,0
"520812-3367194",0,0,1,1,1,1,0,0,1,0
"751103-1548395",1,0,0,1,0,1,1,0,1,1
"820924-4357475",1,0,0,0,0,1,1,0,1,0
"641224-3564103",1,0,0,1,1,1,0,1,1,0
"900828-1526728",1,1,0,1,0,0,0,0,1,0
"530406-1316971",0,1,0,1,0,0,1,0,1,1
"811222-1563417",1,0,0,1,0,1,0,1,1,0
"740216-1641893",0,0,0,0,1,1,1,0,0,1
"941010-2225498",1,1,0,0,0,1,1,0,1,0
"900504-2010164",1,1,1,1,1,0,0,0,1,1
"971228-1108443",1,0,1,1,0,1,0,0,0,1
"800804-3686575",0,1,0,1,0,0,0,1,1,1
"780613-2268957",0,0,1,1,1,1,0,0,0,1
"610526-1167312",1,1,1,1,1,1,1,0,1,1
"800124-2950477",1,0,0,1,0,1,1,0,0,0
"840306-3706002",1,1,1,0,0,0,0,1,1,1
"881205-4056863",0,1,0,0,0,0,0,1,0,1
"940404-1539759",1,0,0,0,0,1,1,1,0,1
"790220-4833423",1,0,0,0,1,1,1,1,1,0
"901202-2568809",0,0,0,0,0,1,1,0,1,1
"680203-4503927",0,1,1,1,0,1,1,1,0,0
"891207-4441432",0,1,1,0,0,0,0,1,1,0
"661104-4926213",0,1,0,0,0,1,1,1,0,0
"830722-1133060",0,0,0,1,1,0,1,0,1,1
"710527-4297777",1,1,0,0,1,0,1,0,0,1
"930904-3469066",1,0,0,1,0,1,1,0,1,0
"911222-1981914",1,1,0,1,1,0,0,0,0,0
"960120-4450979",1,1,1,0,1,1,1,0,0,1
"620117-3642465",1,0,1,0,0,0,0,1,0,0
"790113-4030736",0,0,0,1,0,0,0,1,1,1
"680601-1856274",0,0,0,1,1,0,0,1,1,1
"771204-4377557",1,0,1,1,1,0,1,0,0,1
"581104-2974448",0,1,1,1,1,0,0,1,1,0
"780723-2730281",1,0,0,1,1,0,0,0,0,0
"820222-2570618",1,1,1,1,1,1,0,0,0,0
"560521-4936953",0,0,0,0,0,0,1,1,1,1
"720604-4709488",1,1,1,1,0,1,0,1,0,0
"951115-4143272",0,0,0,0,1,1,0,0,1,1
"850111-1595088",0,1,1,0,0,0,1,0,0,0
"720506-3015876",1,1,0,1,0,0,0,0,1,1
"691226-3239980",1,1,0,0,1,0,0,0,0,1
"650720-1015504",1,1,1,1,0,1,1,0,0,1
"741123-2081402",0,1,0,1,0,0,1,0,1,1
"890823-1580125",1,0,1,0,0,1,1,0,1,1
"981013-1408871",0,0,1,0,1,1,0,1,0,1
"650927-3628770",1,0,0,0,0,1,1,1,0,1
"630906-3836976",1,0,0,1,1,1,0,1,0,1
"521221-2577817",1,0,1,0,0,0,0,0,0,1
"770621-2150648",1,1,1,1,1,0,0,1,1,0
"550115-4527306",0,1,1,1,0,1,1,1,1,0
"941028-1665955",0,1,0,1,1,1,0,1,1,1
"851015-2157052",0,0,1,0,0,0,0,1,1,0
"590312-4483740",1,1,1,0,0,0,0,1,1,1
"760409-2891702",1,1,0,1,0,1,0,0,0,1
"830416-1215745",1,1,1,1,1,0,1,1,1,1
"900205-4919422",0,0,1,0,1,0,0,0,1,1
"741215-3052953",0,0,1,0,0,1,0,1,0,0
"881106-1816208",1,0,0,1,1,1,0,0,1,1
"980722-1300931",1,0,1,1,0,0,0,1,1,1
"980413-4237299",0,0,0,1,1,0,1,1,0,0
"700902-1805215",1,0,0,0,0,1,0,0,0,1
"920714-1854797",1,1,0,0,0,1,0,0,1,0
"890809-4128683",1,0,0,1,0,0,1,0,0,0
"530804-1054707",1,0,1,0,1,1,1,1,1,1
"741105-4499290",1,1,0,0,1,1,1,0,0,1
"820713-4431213",0,0,1,1,0,0,0,0,1,0
"970328-2111667",1,0,0,0,1,0,0,1,0,0
"720320-3508450",0,0,1,1,1,0,1,1,1,0
"861119-4536969",0,0,0,0,1,0,1,0,0,0
"900413-1373506",0,1,0,0,1,1,1,1,0,1
"820315-3140555",1,0,0,1,1,1,1,1,0,0
"780519-2107701",1,1,0,0,0,1,0,0,1,0
"750815-4490061",0,0,0,0,0,0,1,1,0,0
"500415-3507867",0,1,0,0,0,0,0,0,1,1
"780615-3965071",0,1,0,0,1,1,0,0,0,1
"870106-3855741",1,1,0,0,0,1,1,1,1,0
"600516-2272609",0,0,1,1,0,1,1,1,1,0
"921011-3943193",0,1,0,0,0,0,1,1,0,1
"581214-4069751",0,0,1,1,1,1,0,0,1,0
"751120-3551936",1,1,1,0,1,0,1,1,0,0
"750818-3504714",1,1,1,1,1,1,0,0,0,1
"640908-1375266",1,1,0,0,1,0,0,0,0,1
"691215-1857098",1,0,1,0,0,1,1,0,1,0
"870415-4873501",0,1,0,1,1,0,0,0,1,0
"780405-2172325",1,1,0,0,0,0,1,1,1,0
"740605-4718043",1,0,0,0,1,0,0,1,1,0
"970122-4463580",1,0,0,1,1,1,1,1,0,1
"570115-2772192",1,1,0,0,1,0,0,1,1,1
"870716-1091730",1,1,0,1,1,1,0,1,0,1
"601022-3892877",1,1,0,0,0,1,1,0,1,1
"810624-3657785",1,0,1,1,0,1,1,1,1,0
"690527-4568404",0,1,0,1,0,0,1,0,0,0
"860118-2068006",0,1,0,0,1,1,1,1,1,0
"840409-1238648",1,1,0,0,0,0,1,0,1,0
"711019-1044858",1,1,1,0,0,1,1,0,0,0
"890417-2355947",0,1,0,0,0,0,0,0,1,0
"851009-2887782",1,0,1,0,0,0,1,0,1,1
"600213-1578526",1,1,1,1,1,0,1,1,1,0
"630106-2258389",0,1,1,1,1,0,0,0,0,1
"700813-1307157",0,0,0,0,1,1,1,1,0,0
"831028-4645920",0,0,1,1,1,1,1,0,1,0
"940408-3600609",1,1,0,0,1,1,1,1,1,0
"770120-1136564",0,1,0,1,0,1,0,1,1,1
"880424-3854197",1,0,1,1,0,1,0,0,0,0
"640107-3897113",1,1,0,1,1,1,0,1,1,1
"951122-4615948",0,0,1,1,1,0,0,0,1,0
"560812-1322202",0,1,1,0,1,0,0,0,0,0
"810521-3369522",1,0,1,1,1,1,1,1,1,0
"960505-1569464",0,1,1,1,1,1,1,1,1,1
"920104-4592180",0,1,0,0,1,0,0,0,0,0
"520517-4488600",0,1,0,0,1,1,0,1,0,0
"701119-1636362",0,0,0,0,1,0,1,1,0,1
"720423-4267693",1,0,0,0,0,0,1,1,1,0
"611208-3458482",0,1,0,0,1,0,0,1,1,1
"500911-1853212",1,0,1,0,0,0,1,0,0,0
"850924-3449621",0,1,0,0,0,0,0,1,1,0
"681122-3298455",1,0,0,0,1,0,1,0,1,1
"950417-4416780",0,1,0,0,1,1,0,1,0,0
"990119-2455377",1,0,1,1,0,1,1,1,0,0
"861112-3447734",1,1,0,0,1,0,1,0,1,0
"850704-3965847",1,0,0,0,1,0,1,0,0,0
"560513-2988651",1,0,1,1,1,0,1,0,0,1
"700120-2641503",0,1,0,1,0,0,1,1,1,0
"910301-4623716",0,1,0,1,0,1,1,0,1,0
"680523-1578302",1,0,0,1,0,0,0,1,0,1
"940717-1893666",0,1,1,0,1,1,1,0,0,0
"920323-1195874",0,0,0,0,0,1,1,0,0,0
"930422-1268775",0,1,0,1,1,1,0,0,1,1
"610423-3301849",0,0,0,1,1,1,1,0,0,0
"740114-4483940",1,0,1,1,0,0,1,0,1,0
"830706-3183612",0,1,0,1,1,1,0,0,0,0
"840716-2841341",0,0,1,0,0,0,0,0,1,1
"871013-4094333",0,0,1,1,1,1,1,1,0,0
"650128-2846868",0,1,0,0,1,1,1,1,0,0
"820523-3453964",1,1,0,0,1,0,1,1,1,0
"510125-3689509",1,1,0,1,1,1,1,0,0,1
"511221-2064214",1,0,0,0,0,0,1,1,0,1
"930705-4470541",1,1,1,1,0,1,0,1,1,1
"590613-3127157",0,1,1,1,1,1,1,0,0,0
"910822-3734209",0,0,1,1,0,1,0,0,0,1
"950415-1202963",1,0,0,0,0,0,1,0,1,1
"590902-3521606",0,1,0,1,0,0,0,0,0,0
"560515-4214615",0,0,0,1,1,1,0,1,1,0
"651022-3853002",1,1,0,0,0,0,1,1,1,1
"720527-2562124",0,1,0,1,1,0,1,1,0,1
"660726-1127336",1,1,0,0,1,0,1,0,0,1
"900621-3215044",1,1,1,0,0,1,1,0,0,1
"980803-2501257",1,0,0,0,1,0,0,1,1,0
"650418-1994704",0,0,1,0,1,0,1,1,0,1
"940114-3142724",1,0,1,1,1,1,1,1,0,1
"940621-2518460",0,0,0,0,0,0,1,1,0,1
"681208-2329878",1,0,1,1,0,0,1,0,0,1
"711111-1963541",1,0,0,1,0,1,1,1,1,1
"790202-1333578",1,0,0,0,0,1,1,1,1,1
"800712-1734864",1,0,1,1,0,1,1,0,1,1
"650518-1590555",1,1,1,1,0,1,0,0,0,1
"520325-1432512",1,1,0,0,0,1,0,1,1,0
"501007-3786609",0,1,0,0,1,0,1,0,1,1
"740602-4385198",0,0,1,1,0,0,0,0,0,0
"500917-3550284",1,0,1,0,1,1,0,0,1,0
"710622-1607459",0,1,0,0,0,1,1,0,0,1
"890703-3083450",0,1,1,1,0,0,0,0,0,0
"831118-2087642",0,0,0,1,0,0,0,1,0,0
"911010-3414757",0,0,1,1,1,0,0,1,1,1
"561201-2813477",0,1,1,1,1,0,1,1,1,0
"970111-2332465",1,0,1,1,0,1,1,1,0,1
"771008-3528770",1,1,0,1,0,1,1,0,1,0
"950828-2991327",0,0,1,1,1,0,1,1,1,1
"811012-2999117",0,1,1,1,1,1,1,0,1,0
"881111-4583041",1,0,1,1,1,1,1,0,0,1
"651017-1928630",0,0,0,0,1,0,0,0,1,1
"931009-1970502",0,1,0,0,1,0,1,1,1,1
"900610-2089204",1,0,0,0,0,0,1,1,0,0
"630319-2740004",0,0,1,1,1,0,1,0,1,0
"980223-3130759",0,0,0,0,1,0,1,1,0,1
"600716-2364268",0,0,1,1,1,0,1,0,0,0
"620624-2504217",0,0,1,0,0,0,1,0,0,0
"771221-3428818",1,0,0,1,1,1,0,1,0,0
"911126-2131569",0,1,0,0,1,1,0,0,0,0
"640512-3303552",1,1,0,0,1,1,0,1,1,0
"720419-3812272",0,1,0,1,0,0,1,1,1,1
"710811-1089699",0,1,1,1,1,0,1,0,0,1
"980907-4314893",0,1,1,1,1,1,0,1,0,0
"530711-2859840",0,1,0,1,0,0,1,1,0,1
"810719-4951361",1,1,0,0,1,1,1,1,0,0
"940716-1659334",1,0,1,1,0,0,0,0,0,1
"610822-1780784",0,1,1,0,1,1,0,0,1,0
"650303-2977703",0,1,0,1,0,0,0,1,1,1
"701109-2892106",0,0,0,0,0,1,1,0,1,1
"580217-2869245",1,0,1,1,1,0,1,0,0,1
"861203-2250118",0,1,1,0,1,0,1,1,1,0
"921007-2211488",0,1,1,1,1,1,1,0,0,1
"710408-2660321",0,1,1,0,0,1,1,1,1,0
"570801-4761432",0,0,0,1,1,0,1,1,1,0
"691204-3519322",0,0,1,0,1,0,0,0,0,1
"771113-4893085",1,1,0,0,1,0,1,0,1,0
"560405-4713812",1,0,1,0,0,0,0,0,0,0
"510203-3373623",0,0,1,1,0,1,1,0,1,0
"680523-4161337",0,0,0,1,0,0,1,1,0,1
"631128-1591557",0,0,1,0,0,0,0,0,1,1
"890519-4910238",1,0,0,0,1,1,1,0,1,1
"620221-2841065",1,1,1,0,1,1,0,1,0,0
"800101-4378209",0,1,1,0,1,0,1,1,1,0
"691224-1445640",0,1,0,0,0,1,1,1,0,0
"930112-4188721",1,1,1,0,0,0,1,0,1,1
"500325-2132357",1,0,0,1,1,0,0,1,0,0
"521122-1348759",0,0,1,1,0,0,1,0,0,1
"870322-2637307",0,0,0,1,0,0,0,1,0,0
"730812-4931485",1,1,1,1,0,1,1,1,1,1
"930601-4586934",1,0,0,0,0,0,1,1,1,0
"630802-1438485",0,1,0,0,1,0,1,0,1,1
"931017-4628034",0,1,1,1,1,1,1,0,0,1
"530617-4237441",1,0,0,1,1,0,0,1,1,1
"610818-2219847",1,1,0,0,0,0,1,0,1,0
"550918-1777189",0,1,0,1,0,1,1,1,1,0
"541004-3259061",1,0,1,1,1,1,1,0,0,1
"640120-3321805",0,1,1,1,1,1,1,1,0,1
"530317-4444910",0,1,1,1,0,1,0,1,1,1
"500918-2093093",1,1,1,1,1,0,1,1,0,0
"560215-2022611",0,1,0,1,1,1,0,0,1,1
"970724-3647440",1,1,0,0,1,0,0,0,0,1
"710816-3390987",1,1,1,1,0,0,0,0,1,1
"511204-3842135",1,1,0,0,1,1,1,0,1,0
"810916-2650667",1,0,1,0,0,0,1,0,1,0
"650120-1100297",1,0,0,1,0,0,1,0,0,1
"990302-2595238",0,1,0,0,0,0,1,0,0,1
"650413-4718598",0,1,1,1,1,0,1,0,1,0
"710112-1255997",0,1,0,0,0,0,1,0,0,1
"710920-4410117",1,1,1,0,0,0,0,1,0,0
"961227-4121106",0,1,1,1,0,0,0,0,1,0
"750121-3206452",1,1,0,0,1,0,0,0,1,0
